iter	Passed	Remaining
0	2	236
1	4	205
2	5	175
3	6	157
4	8	169
5	10	170
6	12	167
7	14	166
8	16	167
9	17	160
10	19	154
11	20	149
12	21	144
13	23	141
14	24	137
15	25	133
16	26	131
17	28	129
18	29	125
19	30	122
20	31	119
21	32	116
22	33	113
23	34	110
24	35	107
25	36	104
26	38	103
27	39	100
28	40	98
29	41	96
30	42	93
31	43	91
32	44	89
33	45	87
34	46	86
35	47	84
36	48	82
37	49	80
38	50	78
39	51	77
40	52	75
41	52	73
42	53	71
43	54	69
44	55	68
45	56	66
46	57	65
47	59	63
48	60	62
49	61	61
50	62	59
51	63	58
52	64	56
53	65	55
54	65	53
55	66	52
56	67	51
57	68	49
58	69	48
59	70	47
60	71	45
61	73	44
62	74	43
63	75	42
64	76	40
65	77	39
66	78	38
67	79	37
68	80	35
69	81	34
70	82	33
71	83	32
72	84	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	101	12
89	102	11
90	103	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
